area,cases,date
COMMUNITY OF ORCUTT,40,2020-05-15
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",26,2020-05-15
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-14
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,71,2020-05-14
CITY OF GOLETA,11,2020-05-14
COMMUNITY OF ISLA VISTA,1,2020-05-14
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-14
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,2020-05-14
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,97,2020-05-14
FEDERAL PRISON IN LOMPOC,893,2020-05-14
CITY OF SANTA MARIA,196,2020-05-14
COMMUNITY OF ORCUTT,40,2020-05-14
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-14
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-13
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,69,2020-05-13
CITY OF GOLETA,11,2020-05-13
COMMUNITY OF ISLA VISTA,1,2020-05-13
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-13
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,2020-05-13
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,93,2020-05-13
FEDERAL PRISON IN LOMPOC,896,2020-05-13
CITY OF SANTA MARIA,190,2020-05-13
COMMUNITY OF ORCUTT,40,2020-05-13
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-13
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-12
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,69,2020-05-12
CITY OF GOLETA,11,2020-05-12
COMMUNITY OF ISLA VISTA,1,2020-05-12
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-12
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,2020-05-12
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,92,2020-05-12
People incarcerated at the Federal Prison in Lompoc,896,2020-05-12
CITY OF SANTA MARIA,186,2020-05-12
COMMUNITY OF ORCUTT,39,2020-05-12
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-12
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-11
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,69,2020-05-11
CITY OF GOLETA,10,2020-05-11
COMMUNITY OF ISLA VISTA,1,2020-05-11
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-11
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,2020-05-11
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,91,2020-05-11
People incarcerated at the Federal Prison in Lompoc,893,2020-05-11
CITY OF SANTA MARIA,183,2020-05-11
COMMUNITY OF ORCUTT,39,2020-05-11
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-11
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-10
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,67,2020-05-10
CITY OF GOLETA,10,2020-05-10
COMMUNITY OF ISLA VISTA,1,2020-05-10
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-10
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,2020-05-10
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,91,2020-05-10
People incarcerated at the Federal Prison in Lompoc,854,2020-05-10
CITY OF SANTA MARIA,170,2020-05-10
COMMUNITY OF ORCUTT,39,2020-05-10
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-10
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-09
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,67,2020-05-09
CITY OF GOLETA,10,2020-05-09
COMMUNITY OF ISLA VISTA,1,2020-05-09
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-09
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,2020-05-09
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,90,2020-05-09
People incarcerated at the Federal Prison in Lompoc,797,2020-05-09
CITY OF SANTA MARIA,170,2020-05-09
COMMUNITY OF ORCUTT,39,2020-05-09
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-09
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",24,2020-05-08
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,67,2020-05-08
CITY OF GOLETA,11,2020-05-08
COMMUNITY OF ISLA VISTA,1,2020-05-08
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-08
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,2020-05-08
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,88,2020-05-08
People incarcerated at the Federal Prison in Lompoc,582,2020-05-08
CITY OF SANTA MARIA,166,2020-05-08
COMMUNITY OF ORCUTT,39,2020-05-08
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-08
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",24,2020-05-07
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,67,2020-05-07
CITY OF GOLETA,11,2020-05-07
COMMUNITY OF ISLA VISTA,1,2020-05-07
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-07
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,2020-05-07
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,88,2020-05-07
People incarcerated at the Federal Prison in Lompoc,272,2020-05-07
CITY OF SANTA MARIA,165,2020-05-07
COMMUNITY OF ORCUTT,39,2020-05-07
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-07
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",24,2020-05-06
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,67,2020-05-06
CITY OF GOLETA,11,2020-05-06
COMMUNITY OF ISLA VISTA,1,2020-05-06
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,14,2020-05-06
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,2020-05-06
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,86,2020-05-06
People incarcerated at the Federal Prison in Lompoc,172,2020-05-06
CITY OF SANTA MARIA,161,2020-05-06
COMMUNITY OF ORCUTT,39,2020-05-06
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-06
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",24,2020-05-05
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,67,2020-05-05
CITY OF GOLETA,11,2020-05-05
COMMUNITY OF ISLA VISTA,1,2020-05-05
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-05
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,2020-05-05
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,85,2020-05-05
People incarcerated at the Federal Prison in Lompoc,107,2020-05-05
CITY OF SANTA MARIA,158,2020-05-05
COMMUNITY OF ORCUTT,38,2020-05-05
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-05
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",22,2020-05-04
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,63,2020-05-04
CITY OF GOLETA,7,2020-05-04
COMMUNITY OF ISLA VISTA,1,2020-05-04
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,15,2020-05-04
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,2020-05-04
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,84,2020-05-04
People incarcerated at the Federal Prison in Lompoc,107,2020-05-04
CITY OF SANTA MARIA,152,2020-05-04
COMMUNITY OF ORCUTT,38,2020-05-04
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-04
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",22,2020-05-03
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,60,2020-05-03
CITY OF GOLETA,7,2020-05-03
COMMUNITY OF ISLA VISTA,1,2020-05-03
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,14,2020-05-03
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,2020-05-03
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,84,2020-05-03
People incarcerated at the Federal Prison in Lompoc,107,2020-05-03
CITY OF SANTA MARIA,145,2020-05-03
COMMUNITY OF ORCUTT,37,2020-05-03
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-03
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",22,2020-05-02
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,60,2020-05-02
CITY OF GOLETA,7,2020-05-02
COMMUNITY OF ISLA VISTA,1,2020-05-02
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,14,2020-05-02
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,2020-05-02
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,84,2020-05-02
People incarcerated at the Federal Prison in Lompoc,107,2020-05-02
CITY OF SANTA MARIA,139,2020-05-02
COMMUNITY OF ORCUTT,37,2020-05-02
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-02
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",22,2020-05-01
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,59,2020-05-01
CITY OF GOLETA,7,2020-05-01
COMMUNITY OF ISLA VISTA,1,2020-05-01
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,14,2020-05-01
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,2020-05-01
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,84,2020-05-01
People incarcerated at the Federal Prison in Lompoc,106,2020-05-01
CITY OF SANTA MARIA,141,2020-05-01
COMMUNITY OF ORCUTT,37,2020-05-01
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-05-01
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",22,2020-04-30
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,57,2020-04-30
CITY OF GOLETA,7,2020-04-30
COMMUNITY OF ISLA VISTA,1,2020-04-30
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,13,2020-04-30
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,2020-04-30
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,84,2020-04-30
People incarcerated at the Federal Prison in Lompoc,106,2020-04-30
CITY OF SANTA MARIA,135,2020-04-30
COMMUNITY OF ORCUTT,36,2020-04-30
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-04-30
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",21,2020-04-29
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,57,2020-04-29
CITY OF GOLETA,7,2020-04-29
COMMUNITY OF ISLA VISTA,1,2020-04-29
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,13,2020-04-29
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,2020-04-29
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,80,2020-04-29
People incarcerated at the Federal Prison in Lompoc,105,2020-04-29
CITY OF SANTA MARIA,130,2020-04-29
COMMUNITY OF ORCUTT,36,2020-04-29
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",25,2020-04-29
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",21,2020-04-28
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,56,2020-04-28
CITY OF GOLETA,7,2020-04-28
COMMUNITY OF ISLA VISTA,1,2020-04-28
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,13,2020-04-28
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,2020-04-28
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,79,2020-04-28
People incarcerated at the Federal Prison in Lompoc,104,2020-04-28
CITY OF SANTA MARIA,128,2020-04-28
COMMUNITY OF ORCUTT,36,2020-04-28
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",24,2020-04-28
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",21,2020-04-27
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,55,2020-04-27
CITY OF GOLETA,7,2020-04-27
COMMUNITY OF ISLA VISTA,1,2020-04-27
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,13,2020-04-27
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,2020-04-27
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,79,2020-04-27
People incarcerated at the Federal Prison in Lompoc,104,2020-04-27
CITY OF SANTA MARIA,126,2020-04-27
COMMUNITY OF ORCUTT,36,2020-04-27
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",24,2020-04-27
